iso3,area_name,area_type,year_latest_value,eys,gr_eys_P10,gr_eys_P5,gr_eys_P3,gr_eys_P1
AFG,Afghanistan,country,2023,10.790143,.0062915962,.0047429148,.0026321821,0
AGO,Angola,country,2023,12.1676,.01096292,0,0,0
ALB,Albania,country,2023,14.51015,-.0060495231,-.0048413482,-.0051092468,-.010903325
AND,Andorra,country,2023,14.54279,.023719417,.040446121,.068780527,.13759702
ARE,United Arab Emirates,country,2023,15.60159,.039354276,.0445856,.048884634,.046537325
ARG,Argentina,country,2023,18.831209,.0089027733,.010671361,.008461629,0
ARM,Armenia,country,2023,14.38385,.011723639,.0080084773,.0071906848,-.0015106699
ATG,Antigua and Barbuda,country,2023,15.502999,-.00048113213,-.00036085292,-.00020048993,0
AUS,Australia,country,2023,20.654779,-.01034647,.0022055593,-.0045522233,0
AUT,Austria,country,2023,16.284281,.0015310791,.0032538786,.0032928041,0
AZE,Azerbaijan,country,2023,12.90978,.0056328513,-.0062482795,.007268731,.015741412
BDI,Burundi,country,2023,9.8294239,-.011162173,-.0082678432,-.0046017454,0
BEL,Belgium,country,2023,18.996031,-.0018494886,-.005849353,-.004852484,0
BEN,Benin,country,2023,10.44648,-.014638231,-.01442057,.004634277,0
BFA,Burkina Faso,country,2023,8.7333403,.014747203,-.0048431042,-.0016945928,0
BGD,Bangladesh,country,2023,12.310168,.017505685,.015495492,.01005064,0
BGR,Bulgaria,country,2023,15.31664,.0016869931,-.0039462694,-.0064699249,0
BHR,Bahrain,country,2023,15.92719,.0083067445,-.0017229003,-.0095271496,-.022852613
BHS,Bahamas,country,2023,11.891379,.001708941,.0014751337,0,0
BIH,Bosnia and Herzegovina,country,2023,13.16394,-.0033750434,-.0061715585,-.0022974601,-.0085198646
BLR,Belarus,country,2023,13.71881,-.012629262,-.013340854,-.012925683,-.018790513
BLZ,Belize,country,2023,11.9838,-.0067411824,-.020628015,-.030970404,-.035630837
BOL,Bolivia (Plurinational State of),country,2023,15.61065,-.0012690115,.0053366935,.0017380702,0
BRA,Brazil,country,2023,15.79271,.0035346844,.0036999795,.0074278042,0
BRB,Barbados,country,2023,16.628002,.0047064326,.0035277458,.0019582985,0
BRN,Brunei Darussalam,country,2023,13.69862,-.0073224315,-.0034949598,0,0
BTN,Bhutan,country,2023,13.152741,.0054004057,.0040475521,.002246595,0
BWA,Botswana,country,2023,11.42568,-.0016230273,-.0012237207,-.00068140647,0
CAF,Central African Republic,country,2023,7.4357677,.016423486,.012292509,.006810626,0
CAN,Canada,country,2023,15.88826,.00038645579,-.00057618698,-.0011806665,0
CHE,Switzerland,country,2023,16.66753,.0039467532,.0049748737,.0047213878,0
CHL,Chile,country,2023,16.91242,.0048963581,.0036609743,.011533219,0
CHN,China,country,2023,15.478749,.013687503,.010248175,.0056805015,0
CIV,Côte d’Ivoire,country,2023,11.41113,.034161285,.033071656,.041466799,.11807825
CMR,Cameroon,country,2023,10.79188,-.0074701989,-.013515292,-.0055207042,.0026944156
COD,Democratic Republic of the Congo,country,2023,10.911474,.017815862,.013332341,.0073850513,0
COG,Congo,country,2023,12.681947,.017068556,.012774308,.0070767882,0
COL,Colombia,country,2023,14.28641,-.0028522506,-.0047233258,.00016897358,0
COM,Comoros,country,2023,13.29446,.014455738,.011769639,.0065216566,0
CPV,Cabo Verde,country,2023,11.367097,-.011374473,-.0085355127,-.0047510094,0
CRI,Costa Rica,country,2023,16.349636,.013205414,.01430988,.0053084427,0
CUB,Cuba,country,2023,13.87884,-.00078056374,-.0045794691,-.012806908,-.020828804
CYP,Cyprus,country,2023,16.215599,.013503213,.0065393187,-.00025825345,0
CZE,Czechia,country,2023,16.793501,-.00037751222,.0081699425,.013339492,0
DEU,Germany,country,2023,17.309219,.0012470862,.0031174514,.0016080738,0
