iso3,area_name,area_type,year_latest_value,gii_inv,gr_gii_inv_P10,gr_gii_inv_P5,gr_gii_inv_P3,gr_gii_inv_P1
AFG,Afghanistan,country,2023,.33899999,.015036562,.0097164437,.013119581,.011940393
AGO,Angola,country,2023,.48500001,.0077424212,.010201857,.012686359,.018907584
ALB,Albania,country,2023,.89300001,.010302998,.0070912912,.006810654,0
AND,Andorra,country,2023,,,,,
ARE,United Arab Emirates,country,2023,.95999998,.012721628,.01142291,-.0034483208,-.0051813433
ARG,Argentina,country,2023,.736,.012815364,.010369263,.0096958801,-.0027100907
ARM,Armenia,country,2023,.81999999,.018002803,.015848458,.011222883,0
ATG,Antigua and Barbuda,country,2023,.75999999,,,,-.020618588
AUS,Australia,country,2023,.94400001,.0072742845,.0075848401,.0057144198,0
AUT,Austria,country,2023,.96700001,.0053232219,.0056797955,.0052247499,.0051974999
AZE,Azerbaijan,country,2023,.685,.0040294905,.0014662812,.0084120808,.0029283043
BDI,Burundi,country,2023,.49900001,.005153113,.0024223293,.0013395969,.0020080076
BEL,Belgium,country,2023,.96899998,.0044409363,.0043916302,.0045123873,.0072764722
BEN,Benin,country,2023,.42699999,.020668859,.037623726,.056589868,.18611097
BFA,Burkina Faso,country,2023,.44499999,.0094632218,.016023219,.041408863,-.015486781
BGD,Bangladesh,country,2023,.51300001,.01971896,.018531129,.0085926354,0
BGR,Bulgaria,country,2023,.792,.00063351484,.00025271389,-.0033445135,.0012642083
BHR,Bahrain,country,2023,.83499998,.0089259902,.0096124057,.0097686239,.014580756
BHS,Bahamas,country,2023,.67500001,.0075647039,.0017873148,.00049431418,.0029718245
BIH,Bosnia and Herzegovina,country,2023,.84299999,,.0031130898,-.0050881556,.0011876269
BLR,Belarus,country,2023,.92000002,.007590075,.0048524579,.0051245391,.0087719476
BLZ,Belize,country,2023,.57200003,-.0046016295,.013843581,.02510222,.014184474
BOL,Bolivia (Plurinational State of),country,2023,.58099997,.0098027503,.0038301914,.0069810105,.0034542
BRA,Brazil,country,2023,.61000001,.009493866,.0036461144,.011746053,0
BRB,Barbados,country,2023,.70300001,.0066371295,.0072682207,.002382101,.0014244918
BRN,Brunei Darussalam,country,2023,.74300003,,.007994418,.0086723035,.026243189
BTN,Bhutan,country,2023,.722,.023920493,-.0002767776,-.0054795467,.006973478
BWA,Botswana,country,2023,.50999999,.0015823174,.00078616035,.0046174708,.0039369869
CAF,Central African Republic,country,2023,,,,,
