iso3,area_name,area_type,year_latest_value,gnipc,gr_gnipc_P10,gr_gnipc_P5,gr_gnipc_P3,gr_gnipc_P1
AFG,Afghanistan,country,2023,1971.5494,-.048631545,-.064988688,-.11011212,.0054071173
AGO,Angola,country,2023,6631.2764,-.034533385,-.036855552,-.016972141,-.029962262
ALB,Albania,country,2023,17627.395,.03199346,.035391234,.065954946,.040260982
AND,Andorra,country,2023,64631.074,.012055772,.0049706567,.052154932,.011232045
ARE,United Arab Emirates,country,2023,71142.305,-.00085870089,-.002975035,.014929815,.0045795077
ARG,Argentina,country,2023,25876.053,-.01089092,-.0045094551,.037781455,-.027482605
ARM,Armenia,country,2023,20220.723,.041610677,.048348263,.089407437,.1066004
ATG,Antigua and Barbuda,country,2023,27386.518,.011899331,-.0028788056,.061451919,.036045313
AUS,Australia,country,2023,58276.875,.012119476,.019577954,.026764225,.00035196776
AUT,Austria,country,2023,63479.207,.0017306027,-.003818261,.0078280391,-.013905217
AZE,Azerbaijan,country,2023,20667.957,.0077900426,.021778408,.03312448,.008636361
BDI,Burundi,country,2023,858.91559,-.014922971,-.0088351546,-.0028084344,-.0024574553
BEL,Belgium,country,2023,63582.477,.0085343085,.0072098956,.022116728,.021764573
BEN,Benin,country,2023,3805.5276,.024448751,.032742005,.038864095,.037957963
BFA,Burkina Faso,country,2023,2390.5278,.017576113,.012549384,.014971437,.0072142184
BGD,Bangladesh,country,2023,8497.6582,.055907652,.050519239,.054037008,.047235698
BGR,Bulgaria,country,2023,32174.93,.03698834,.043969385,.071291387,.022664368
BHR,Bahrain,country,2023,52818.797,.0035454512,.0097551066,.027119081,-.012623542
BHS,Bahamas,country,2023,30974.682,.0016566633,.0053740381,.097140573,.038464904
BIH,Bosnia and Herzegovina,country,2023,19827.486,.03937326,.038289428,.056726016,.033846274
BLR,Belarus,country,2023,26724.871,.0056348657,.0097294915,.013471252,.048900887
BLZ,Belize,country,2023,12343.078,.0098602688,.030693088,.085789979,.043622576
BOL,Bolivia (Plurinational State of),country,2023,9445.2451,.018020671,-.0029444178,.023433834,.016759528
BRA,Brazil,country,2023,18011.285,-.0035761632,.010581487,.027377388,.023743605
BRB,Barbados,country,2023,17327.52,.0027616418,.0089419102,.058607183,.026580805
BRN,Brunei Darussalam,country,2023,75826.875,-.011805015,-.0087439343,-.031353232,.0061624805
BTN,Bhutan,country,2023,13842.804,.029761087,.018379951,.043508124,.038115367
BWA,Botswana,country,2023,16983.771,.011398511,.021032646,.039022624,.010594786
CAF,Central African Republic,country,2023,1099.8607,.012052299,-.010617895,-.0092264106,.0036664302
CAN,Canada,country,2023,54688.418,.0036748534,.0019525492,.024052495,-.039745484
CHE,Switzerland,country,2023,81948.898,.0026977623,.010474707,.032190543,-.0054724137
CHL,Chile,country,2023,28047.17,.0058894292,.0024245041,.042528678,-.0029700908
CHN,China,country,2023,22029.223,.056415603,.048159525,.056454286,.054592032
CIV,Côte d’Ivoire,country,2023,6735.4165,.067264937,.025383962,.035995912,.029802922
CMR,Cameroon,country,2023,4746.2656,.0089090997,.0015931408,.0097749438,.017951936
COD,Democratic Republic of the Congo,country,2023,1431.048,.027507722,.021346139,.032401059,.067280203
COG,Congo,country,2023,5902.5991,-.036900282,-.024101697,-.024448782,.016488058
COL,Colombia,country,2023,18665.949,.018145723,.02014285,.054680873,.018801734
COM,Comoros,country,2023,3481.1213,.0029224099,-.0020195567,.0042953291,.0057125515
CPV,Cabo Verde,country,2023,8165.3794,.017856704,.017034365,.094353594,.050988611
CRI,Costa Rica,country,2023,23417.213,.020100821,.013504759,.034166433,.048783861
CUB,Cuba,country,2023,8415.4121,.001206935,-.017947456,.0082577597,-.015741073
CYP,Cyprus,country,2023,45394.156,.020841133,.010107039,.030814325,-.023156591
CZE,Czechia,country,2023,45889.016,.022271596,.0065018348,.016697794,.013783165
DEU,Germany,country,2023,64053.223,.0086777247,-.0005655596,.0083353287,.0068324702
DJI,Djibouti,country,2023,6367.606,.034728289,.025851496,.039362554,.014159327
DMA,Dominica,country,2023,16001.126,.010768089,.010443099,.0509101,.034498196
DNK,Denmark,country,2023,76007.859,.021291012,.02527112,.041054279,.013898223
DOM,Dominican Republic,country,2023,22023.51,.038176153,.023611421,.055506308,.0066414103
DZA,Algeria,country,2023,15114.172,.0029274791,-.0014908158,.021811346,.036501892
ECU,Ecuador,country,2023,13986.397,.0032433539,.0038189192,.053114299,.0064427084
EGY,Egypt,country,2023,16218.135,.022546267,.024008807,.023826595,.010414576
ERI,Eritrea,country,2023,2029.0701,.012073291,.0062047974,.0097139562,.0099478168
ESP,Spain,country,2023,46008.441,.01402867,.0011148942,.037316725,.024973528
EST,Estonia,country,2023,40880.93,.025199059,.0093087684,.0038092183,-.049901318
ETH,Ethiopia,country,2023,2795.5071,.049961403,.036846139,.032578461,.040506549
FIN,Finland,country,2023,57067.637,.007357351,-.00034707721,-.0011269255,-.023007525
FJI,Fiji,country,2023,12843.159,.018315369,.0034060176,.071109198,.069747746
FRA,France,country,2023,55060.16,.00632984,-.00042753614,.024671854,-.0021034975
FSM,Micronesia (Federated States of),country,2023,4245.8784,.0023603595,.0019680292,.00006071911,-.0014275842
GAB,Gabon,country,2023,18854.061,-.014208077,-.029109871,-.050646126,-.0037314242
GBR,United Kingdom of Great Britain and Northern Ireland,country,2023,54371.586,.010009654,.0037681826,.043665703,-.016036708
GEO,Georgia,country,2023,20752.57,.042681571,.046096575,.085883528,.062854178
GHA,Ghana,country,2023,6846.3521,.023863114,.029584331,.021908473,.045939159
GIN,Guinea,country,2023,3494.3477,.02588921,.0062227417,.013036411,.023986738
GMB,Gambia,country,2023,2812.0176,.012155866,.019313997,.026107393,.029040607
GNB,Guinea-Bissau,country,2023,2403.0593,.019331204,.028384086,.025952138,.019491322
GNQ,Equatorial Guinea,country,2023,12762.469,-.052200079,-.036263105,-.034463804,-.088187084
GRC,Greece,country,2023,35760.75,.014593683,.019361144,.056401562,.036473226
GRD,Grenada,country,2023,14349.028,.018209906,.0023264249,.043853834,.033488438
GTM,Guatemala,country,2023,12458.604,.019728875,.020617921,.037188455,.023633288
GUY,Guyana,country,2023,46959.25,.16495527,.31257513,.36599657,.32257184
HKG,"China, Hong Kong Special Administrative Region",country,2023,69435.758,.014745123,-.00023972498,.026876185,.022207059
HND,Honduras,country,2023,6064.7856,.014455231,.011896725,.053173557,.026784461
HRV,Croatia,country,2023,41379.891,.04130258,.047320195,.087228879,.02966151
HTI,Haiti,country,2023,2934.9258,-.013754692,-.033551745,-.030205995,-.03134384
HUN,Hungary,country,2023,37236.074,.026673425,.014484932,.011618516,-.0096831527
IDN,Indonesia,country,2023,13700.13,.032804154,.026361331,.039628897,.045288004
IND,India,country,2023,9046.7559,.04750149,.033551712,.07256718,.067378424
IRL,Ireland,country,2023,90884.633,.063199066,.045522295,.053449128,.033697408
IRN,Iran (Islamic Republic of),country,2023,16095.771,-.0058410098,.014304802,.053052034,.042198312
IRQ,Iraq,country,2023,12653.524,-.0069223023,-.023290915,.0015464649,-.042340923
ISL,Iceland,country,2023,69116.938,.018455027,.0069574951,.037529107,.050074909
ISR,Israel,country,2023,48050.113,.026242118,.02516357,.043164849,.0029100718
ITA,Italy,country,2023,52388.883,.012047376,.0096761454,.036594152,.029254077
JAM,Jamaica,country,2023,10056.985,.0068993978,.0042262441,.040180627,.024879694
JOR,Jordan,country,2023,9221.8721,-.013968974,.00046473808,.010742255,.0097431652
JPN,Japan,country,2023,47774.609,.00844419,.0035731103,.01717883,.023967206
KAZ,Kazakhstan,country,2023,30988.529,.010352907,.010449266,.00072855456,.02783766
KEN,Kenya,country,2023,5608.2959,.03555052,.024558373,.039520171,.032639187
KGZ,Kyrgyzstan,country,2023,6078.1177,.015560284,.005692218,.033843316,.043846536
KHM,Cambodia,country,2023,4931.0166,.042445727,.028513452,.037499424,.069111332
KIR,Kiribati,country,2023,4947.2803,.028887525,.020490032,.037022628,.025025336
KNA,Saint Kitts and Nevis,country,2023,29105.438,.013987185,.0018942632,.044486169,.025045864
KOR,Republic of Korea,country,2023,49726.453,.021354225,.009470297,.016101019,.017500615
