iso3,area_name,area_type,year_latest_value,hdi,gr_hdi_P10,gr_hdi_P5,gr_hdi_P3,gr_hdi_P1
AFG,Afghanistan,country,2023,.49599999,.00081004505,-.00080450578,-.0033378203,.0020201318
AGO,Angola,country,2023,.616,.0083232177,.0016313255,.0032679872,.0016259941
ALB,Albania,country,2023,.81,.0021233556,.0022371602,.0066724112,.0049627824
AND,Andorra,country,2023,.91299999,.0057646129,.0085386438,.023718147,.022396397
ARE,United Arab Emirates,country,2023,.94,.010591748,.0085109323,.011240977,.020629743
ARG,Argentina,country,2023,.86500001,.0015154463,.00092743104,.0054539461,.0081585404
ARM,Armenia,country,2023,.81099999,.0057249139,.0055155037,.021438135,.012484382
ATG,Antigua and Barbuda,country,2023,.85100001,.0018998468,.00023517989,.004346177,.0035377587
AUS,Australia,country,2023,.958,.00243308,.0027363095,.0027991808,.006302502
AUT,Austria,country,2023,.93000001,.001627374,.0010787505,.0017985639,.003236274
AZE,Azerbaijan,country,2023,.78899997,.0041488828,.0035870778,.013896672,.006377548
BDI,Burundi,country,2023,.43900001,.0025408487,.0022936142,.0030558014,.0045766933
BEL,Belgium,country,2023,.95099998,.002775874,.0019035679,.0042418186,.0063491869
BEN,Benin,country,2023,.51499999,.001764577,.0031360702,.0072228233,.0058593079
BFA,Burkina Faso,country,2023,.45899999,.012594971,.004415181,.0043956605,.0043764235
BGD,Bangladesh,country,2023,.685,.015213839,.011792853,.010940711,.0073529379
BGR,Bulgaria,country,2023,.84500003,.0036213961,.0031056518,.0076094437,.011976116
BHR,Bahrain,country,2023,.89899999,.0060948627,.0029174678,.0052455072,-.0033259615
BHS,Bahamas,country,2023,.81999999,.00184791,.0019627258,.0095283268,.0024449565
BIH,Bosnia and Herzegovina,country,2023,.80400002,.0061747809,.004794566,.0088612325,.0062578255
BLR,Belarus,country,2023,.824,.0003648097,-.00072657579,.003667512,0
BLZ,Belize,country,2023,.72100002,-.00041513465,-.00055385981,.0037261653,.0055787927
BOL,Bolivia (Plurinational State of),country,2023,.73299998,.0047607888,.0030286845,.016928434,.0082530528
BRA,Brazil,country,2023,.78600001,.0031058341,.0030817273,.0068789902,.0076923575
BRB,Barbados,country,2023,.81099999,.0016172522,.0012376242,.0033099174,.0049566277
BRN,Brunei Darussalam,country,2023,.83700001,-.00059541612,0,.00039856127,.014545486
BTN,Bhutan,country,2023,.69800001,.012575633,.0091272173,.0048216619,.0043165595
BWA,Botswana,country,2023,.73100001,.0078527117,.0058467356,.0059992298,.0027435438
CAF,Central African Republic,country,2023,.414,,,,
CAN,Canada,country,2023,.93900001,.00096355355,.00085415645,.0028561458,.0042780843
CHE,Switzerland,country,2023,.97000003,.0018748594,.0016576995,.0024171462,.0041407961
CHL,Chile,country,2023,.87800002,.0038383438,.0027561339,.0084946249,.010356746
CHN,China,country,2023,.79699999,.0084060347,.0058737448,.004643369,.0012562709
CIV,Côte d’Ivoire,country,2023,.58200002,.017980373,.013223604,.017183477,.030088507
CMR,Cameroon,country,2023,.588,.0052505285,.0020533991,.0051547368,.012048244
COD,Democratic Republic of the Congo,country,2023,.52200001,.013609256,.0098638441,.010431018,.015564218
COG,Congo,country,2023,.64899999,.0029757072,.0027968106,.0031007819,.0077639553
COL,Colombia,country,2023,.78799999,.0036245189,.0033325588,.010363426,.0076726121
COM,Comoros,country,2023,.60299999,.0081479074,.0064237881,.0061557237,.0016611291
CPV,Cabo Verde,country,2023,.66799998,.0012055535,.0015037686,.010704162,.0060241348
CRI,Costa Rica,country,2023,.833,.0046800682,.0048723342,.0056658452,.012150663
CUB,Cuba,country,2023,.76200002,-.0011734926,-.0018272018,0,-.0026177713
CYP,Cyprus,country,2023,.91299999,.004490078,.0024272078,.0029379586,.0055066012
CZE,Czechia,country,2023,.91500002,.0025490366,.0030885208,.0062709181,.0043907836
DEU,Germany,country,2023,.95899999,.0014716964,.0014662753,.0013942184,.0041884896
DJI,Djibouti,country,2023,.51300001,.013189053,.0083944695,.0092659285,.0058823903
DMA,Dominica,country,2023,.76099998,.0021271708,.0015843711,.003528906,.0026350105
DNK,Denmark,country,2023,.96200001,.0022095719,.0025136524,.0027874769,.0031282818
DOM,Dominican Republic,country,2023,.77600002,.0059917849,.00077499961,.0038961375,-.0025706869
DZA,Algeria,country,2023,.76300001,.0048448541,.0037106765,.009346351,.0026281679
ECU,Ecuador,country,2023,.77700001,.0028763902,.0025940628,.016396355,.0051746578
EGY,Egypt,country,2023,.75400001,.0081813391,.0070429537,.0080866097,.0039947038
ERI,Eritrea,country,2023,.50300002,.0049009281,.0052506966,.0053584375,.0080160601
ESP,Spain,country,2023,.91799998,.0035543465,.0028565642,.0062501482,.0076838285
EST,Estonia,country,2023,.90499997,.0020110095,.0017773848,.0014776342,.0033258996
ETH,Ethiopia,country,2023,.49700001,.012026257,.0086718202,.0074883737,.0060729464
FIN,Finland,country,2023,.94800001,.0014889138,.00063412025,.00035185966,.0021141993
FJI,Fiji,country,2023,.73100001,.0032020526,.00082282879,.0059992298,.0068870527
FRA,France,country,2023,.92000002,.0026468211,.0019680888,.0040175864,.0043668151
FSM,Micronesia (Federated States of),country,2023,.61500001,.0019724513,.0022921087,.0032733295,.001628621
GAB,Gabon,country,2023,.73299998,.0036180282,.0016451883,.00045515521,.0041095186
GBR,United Kingdom of Great Britain and Northern Ireland,country,2023,.94599998,.001599606,.0021276777,.0057021794,0
GEO,Georgia,country,2023,.84399998,.0058725039,.0048079095,.0088428827,.0071598734
GHA,Ghana,country,2023,.62800002,.0076359776,.0091638314,.0075433818,.004800031
GIN,Guinea,country,2023,.5,.011721547,.0086184219,.0081304433,.0040160976
GMB,Gambia,country,2023,.52399999,.010078887,.0094208159,.0077522323,.0096339351
GNB,Guinea-Bissau,country,2023,.514,.0092041511,.0083777253,.010596834,.0058708792
GNQ,Equatorial Guinea,country,2023,.67400002,.0045635235,.0032964561,.0029851061,-.0044312649
GRC,Greece,country,2023,.90799999,.0032512199,.0033371127,.0044444907,.012263076
GRD,Grenada,country,2023,.79100001,.0017873581,.00076026894,.0038216934,.0025348999
GTM,Guatemala,country,2023,.662,.0044895606,.0039744531,.0087094689,.010687073
GUY,Guyana,country,2023,.77600002,.014947454,.020246046,.024333818,.017038008
HKG,"China, Hong Kong Special Administrative Region",country,2023,.95499998,.0028720782,.00062945095,.0017513155,.0052631535
HND,Honduras,country,2023,.64499998,.0070905546,.0082629509,.010554861,.0031103783
HRV,Croatia,country,2023,.889,.0049700956,.0050242348,.0083877407,.0033860332
HTI,Haiti,country,2023,.55400002,.001639236,-.0025080766,-.00060095207,.0036232986
HUN,Hungary,country,2023,.87,.0023283903,.0030155976,.0050310465,.0034602259
IDN,Indonesia,country,2023,.72799999,.0053753387,.003610204,.0083802855,.0027547802
IND,India,country,2023,.685,.010837968,.011167529,.016594274,.013313611
IRL,Ireland,country,2023,.949,.0036551354,.0010570842,.00035148949,.0021119036
IRN,Iran (Islamic Republic of),country,2023,.79900002,.00062794425,.0022681677,.010217844,.0075662476
IRQ,Iraq,country,2023,.69499999,.0039702281,.0017356122,.007299521,0
ISL,Iceland,country,2023,.972,.002292006,.001239158,.0024121492,.0082987724
ISR,Israel,country,2023,.91900003,.0022027353,.0017501781,.0025519726,-.0021715246
ITA,Italy,country,2023,.91500002,.0031127422,.0028660102,.0058976766,.011049777
JAM,Jamaica,country,2023,.72000003,.00125867,.001394719,.0042017307,.0027855616
JOR,Jordan,country,2023,.75400001,.0016056031,.0018671816,.0049108053,.0039947038
JPN,Japan,country,2023,.92500001,.0014163784,.00086711819,.0010834315,.0043431162
KAZ,Kazakhstan,country,2023,.83700001,.0035324246,.0021645245,.0044195177,.0072202669
KEN,Kenya,country,2023,.62800002,.0097374897,.0074902475,.015319657,.0031949249
KGZ,Kyrgyzstan,country,2023,.72000003,.0048490828,.0033670836,.0094345417,.0041841241
KHM,Cambodia,country,2023,.60600001,.0090118889,.0067346077,.0061248587,.0066445307
KIR,Kiribati,country,2023,.64399999,.0049455701,.0034515981,.0062894588,.0031152212
KNA,Saint Kitts and Nevis,country,2023,.83999997,.0026574752,.0011947462,.0048077521,.013268963
KOR,Republic of Korea,country,2023,.93699998,.0034808789,.0027981391,.0032223638,.0096982755
KWT,Kuwait,country,2023,.852,.0045730397,.0028409618,.0059383754,.0082839876
LAO,Lao People's Democratic Republic,country,2023,.61699998,.0049968604,.0013016642,.0005408299,.004885918
LBN,Lebanon,country,2023,.75199997,-.0013201574,-.005750515,.00088809605,-.0039735259
LBR,Liberia,country,2023,.50999999,.0058715148,.0059884447,.0079684751,.0039369869
LBY,Libya,country,2023,.72100002,-.0036696382,-.0059933406,.015739333,-.026990548
LCA,Saint Lucia,country,2023,.74800003,.00094068155,-.0029154932,.0063178595,.0013387514
LIE,Liechtenstein,country,2023,.93800002,.0019395069,.0021459518,.0032189055,.002136789
LKA,Sri Lanka,country,2023,.77600002,.0015596887,-.0015392574,-.0017123149,-.0012869891
LSO,Lesotho,country,2023,.55000001,.0091736466,.0044217068,.0080052856,.005484486
LTU,Lithuania,country,2023,.89499998,.0034152365,.0013461971,.0026207427,.0078828512
LUX,Luxembourg,country,2023,.92199999,.00032595938,.0015253886,.0021786497,0
LVA,Latvia,country,2023,.889,.00426012,.0031797145,.0037778944,.009080614
MAR,Morocco,country,2023,.70999998,.010591747,.0086718081,.013007208,.0085226819
MCO,Monaco,country,2023,,,,,
MDA,Republic of Moldova,country,2023,.78500003,.0035061662,.0033454194,.0064518116,.0012755773
MDG,Madagascar,country,2023,.48699999,-.0020305316,-.0056523667,.0027529274,.0082815392
MDV,Maldives,country,2023,.76599997,.0076206117,.0058452366,.016175285,.0026177694
MEX,Mexico,country,2023,.78899997,.0030938226,.0010170233,.011232025,.0076628067
MHL,Marshall Islands,country,2023,.73299998,.008128114,.0063965181,.0050529018,.0013660872
MKD,North Macedonia,country,2023,.815,.0041418904,.00024557745,.013441342,.0049322038
MLI,Mali,country,2023,.419,.0024184936,-.0009519335,.0040096547,.0047961683
MLT,Malta,country,2023,.92400002,.004890942,.0034996555,.0076926202,.0076336176
MMR,Myanmar,country,2023,.60900003,.010979772,.0029821605,0,.0049505481
MNE,Montenegro,country,2023,.86199999,.0037901222,.003043843,.0082550766,.010550995
MNG,Mongolia,country,2023,.74699998,.00040249279,-.0052703954,.0026917958,.0067385561
MOZ,Mozambique,country,2023,.493,.010751327,.010031254,.011058249,.0061224201
MRT,Mauritania,country,2023,.56300002,.0034389365,.00071201631,.0053861034,.0017794687
MUS,Mauritius,country,2023,.80599999,.0031558257,.0012453346,.0045910394,.015113307
MWI,Malawi,country,2023,.51700002,.0045611132,.0027301558,.0032446657,.0077972631
MYS,Malaysia,country,2023,.81900001,.0034846677,.0024600497,.0036900707,.011111111
NAM,Namibia,country,2023,.66500002,.007683381,.007064587,.0091888793,.024653388
NER,Niger,country,2023,.419,.014730111,.013928778,.012226132,.01207726
NGA,Nigeria,country,2023,.56,.0080213891,.0084230201,.0078600571,.0053860233
NIC,Nicaragua,country,2023,.70599997,.0055480367,.0045952434,.014579291,.0071326643
NLD,Netherlands (Kingdom of the),country,2023,.95499998,.0019046183,.0016838562,.0035149644,.0020986099
NOR,Norway,country,2023,.97000003,.0017696827,.00082679093,.00034389534,.0031023982
