iso3,area_name,area_type,year_latest_value,ihdi,gr_ihdi_P10,gr_ihdi_P5,gr_ihdi_P3,gr_ihdi_P1
AFG,Afghanistan,country,2023,.32100001,.00031206707,-.0024737467,-.0071650315,.0062695961
AGO,Angola,country,2023,.36000001,,-.0117932,.0056181219,.0027856214
ALB,Albania,country,2023,.70499998,.0021529333,.0046018544,.0067083933,.0057061673
AND,Andorra,country,2023,.83700001,,.011881592,.03088614,.021978039
ARE,United Arab Emirates,country,2023,.866,,.017511846,.012629596,.022432107
ARG,Argentina,country,2023,.76099998,.0026668194,.0029162706,.0084636528,.0092837848
ARM,Armenia,country,2023,.74299997,.0078669582,.010268528,.02349373,.013642563
ATG,Antigua and Barbuda,country,2023,,,,,
AUS,Australia,country,2023,.87300003,.0033840253,.0030051444,.0034602359,.0069204667
AUT,Austria,country,2023,.861,.0021149903,.00023244935,.00077548873,.0034965319
AZE,Azerbaijan,country,2023,.73500001,.0090014907,.0049712495,.015912844,.0082305167
BDI,Burundi,country,2023,.28600001,.001409462,.0056902762,.0058963601,.0070421738
BEL,Belgium,country,2023,.89099997,.0048402008,.0057081277,.0068261293,.013651838
BEN,Benin,country,2023,.31600001,,,.0085840989,.0095846495
BFA,Burkina Faso,country,2023,.273,.010058599,-.0099522341,-.0072204596,.0073801675
BGD,Bangladesh,country,2023,.48199999,.017056921,.01383413,.014959479,.0062629986
BGR,Bulgaria,country,2023,.74800003,.0039619976,.0062658172,.011395712,.020463927
BHR,Bahrain,country,2023,,,,,
BHS,Bahamas,country,2023,.67000002,.0033442862,.0045387796,.01119118,.0090362346
BIH,Bosnia and Herzegovina,country,2023,.68900001,.010608054,.0086373715,.009867426,.01174746
BLR,Belarus,country,2023,.77100003,.0018341921,.00078004011,.0039216084,0
BLZ,Belize,country,2023,,,,,
BOL,Bolivia (Plurinational State of),country,2023,.57800001,.012992923,.0099805892,.027385777,.010489439
BRA,Brazil,country,2023,.59399998,.0097637307,.0030581648,-.0022346405,.0084889596
BRB,Barbados,country,2023,.62,.002286559,.0019467921,.0037920268,.0048622596
BRN,Brunei Darussalam,country,2023,.75599998,.0010643988,.0010615735,.0017699151,.016128991
BTN,Bhutan,country,2023,.47799999,.015711704,.019971404,.022602357,.0063157803
BWA,Botswana,country,2023,.509,,.0076375389,.0073092375,.0039447062
CAF,Central African Republic,country,2023,.25299999,,,,
CAN,Canada,country,2023,.86699998,.0022182907,.0018557222,.0030947833,.0058004647
CHE,Switzerland,country,2023,.89399999,.001125503,.0011223351,.0033784055,.0044943877
CHL,Chile,country,2023,.72299999,.0029519261,-.00027639026,.01035369,.011188829
CHN,China,country,2023,.67000002,.010591757,.0082605351,.0060424637,.0014947489
CIV,Côte d’Ivoire,country,2023,.34999999,.021475988,.029259967,.017755207,.0324484
CMR,Cameroon,country,2023,.361,.0042529404,.005062141,.0074979817,.014044965
COD,Democratic Republic of the Congo,country,2023,.34099999,.017035685,.012793457,.013040598,.014880978
COG,Congo,country,2023,.426,.0053165243,.0042797574,.0047394135,.0070921751
COL,Colombia,country,2023,.59299999,.0043165837,-.0020114074,.010914129,.010221452
COM,Comoros,country,2023,.35600001,,.012839699,.014452868,.0028169418
CPV,Cabo Verde,country,2023,.47799999,,.0029548826,.012144041,.0063157803
CRI,Costa Rica,country,2023,.67799997,.0062572495,.0057009342,.0049653132,.013452808
CUB,Cuba,country,2023,,,,,
CYP,Cyprus,country,2023,.84100002,.0084669087,.0060537211,.0080551337,.019393979
CZE,Czechia,country,2023,.86699998,.0028111453,.0025569799,.0054412261,.0046350006
DEU,Germany,country,2023,.88999999,.0015867949,.0027186538,.0033936934,.0056497161
DJI,Djibouti,country,2023,.34099999,.017744666,.01090505,.012013177,.0088757854
DMA,Dominica,country,2023,,,,,
DNK,Denmark,country,2023,.90899998,,.0037829215,.00406658,.0055309716
DOM,Dominican Republic,country,2023,.634,.012850865,.0064313882,.0063899597,-.0031446144
DZA,Algeria,country,2023,.60100001,.0060181259,.0047251526,.010187451,.0033389516
ECU,Ecuador,country,2023,.63999999,.0053079762,.0041127629,.018923365,.0078740045
EGY,Egypt,country,2023,.58200002,.008833698,.0084578581,.0087417364,.0051813978
ERI,Eritrea,country,2023,,,,,
ESP,Spain,country,2023,.81900001,,.0095470678,.01552912,.030188652
EST,Estonia,country,2023,.84100002,,.0014330244,.00079398067,.0047789798
ETH,Ethiopia,country,2023,.32600001,.015327056,.012742992,.0093755797,.0092879049
FIN,Finland,country,2023,.89099997,.0013568688,.00022461552,-.0003738474,.0033783407
FJI,Fiji,country,2023,.62599999,,,,.0048153633
FRA,France,country,2023,.83600003,.0027936457,.0048546083,.0064622299,.014563144
FSM,Micronesia (Federated States of),country,2023,,,,,
GAB,Gabon,country,2023,.55800003,.0088377688,.0058355662,.0024009713,.0054054395
GBR,United Kingdom of Great Britain and Northern Ireland,country,2023,.86900002,.0013914899,.0018514376,.0058208681,0
GEO,Georgia,country,2023,.75400001,.0089095328,.0084319813,.011302959,.0066755512
GHA,Ghana,country,2023,.39899999,.0092230216,.014112143,.012854859,.0075756917
GIN,Guinea,country,2023,.30199999,.015087214,.015242468,.010135771,.0066666109
GMB,Gambia,country,2023,.329,.017352864,.0093766302,.0040858383,.012307665
GNB,Guinea-Bissau,country,2023,.331,.023262883,.035515584,.012385143,.0060790027
GNQ,Equatorial Guinea,country,2023,,,,,
GRC,Greece,country,2023,.82499999,.0070540044,.0076893871,.01115334,.026119361
GRD,Grenada,country,2023,,,,,
GTM,Guatemala,country,2023,.479,,.0050871707,.0092138536,.010548526
GUY,Guyana,country,2023,,,,,
HKG,"China, Hong Kong Special Administrative Region",country,2023,.83899999,.0041454094,.0011961753,.0027966443,.0059952023
HND,Honduras,country,2023,.49599999,.010005018,.0078424728,.011692925,.0040485933
HRV,Croatia,country,2023,.82800001,.0076819891,.0079139452,.010271892,.0072992458
HTI,Haiti,country,2023,.33700001,.0045635207,0,.0019860892,.008982107
HUN,Hungary,country,2023,.81900001,.0047621946,.004454521,.006180617,.0061424947
IDN,Indonesia,country,2023,.60799998,.010076079,.0094739497,.01351514,.0049585747
IND,India,country,2023,.47499999,.017588224,.017282149,.0227517,.01495726
IRL,Ireland,country,2023,.88599998,.0058257319,.0025017315,.0011312078,.0045350869
IRN,Iran (Islamic Republic of),country,2023,.64300001,.0057782261,.0047320696,.012215764,.0078369696
IRQ,Iraq,country,2023,.53399998,.0059984825,.0030234773,.0082490863,0
ISL,Iceland,country,2023,.92299998,.003085301,.0019616552,.0040044035,.0098468326
