iso3,area_name,area_type,year_latest_value,le,gr_le_P10,gr_le_P5,gr_le_P3,gr_le_P1
AFG,Afghanistan,country,2023,66.035004,.0060203332,.011249018,.024254836,.0063707246
AGO,Angola,country,2023,64.616997,.0079374872,.006291836,.0078652035,.0057744165
ALB,Albania,country,2023,79.601997,.0020415136,.00091699656,.0075581553,.010575029
AND,Andorra,country,2023,84.041,-.00043325571,-.00047758137,.019038996,.00029759065
ARE,United Arab Emirates,country,2023,82.908997,.001164112,.0011133666,.0039427713,.030091699
ARG,Argentina,country,2023,77.394997,.002046244,.0016229433,.0066202907,.020961469
ARM,Armenia,country,2023,75.682999,.0026409151,.0018735294,.031843942,.014068416
ATG,Antigua and Barbuda,country,2023,77.598,.00070892653,.0012054073,.001884167,.0014840637
AUS,Australia,country,2023,83.922997,.00164969,.0015923767,.0010308172,.013978965
AUT,Austria,country,2023,81.956001,.0010777077,.00066025584,.00061912619,.0081189862
AZE,Azerbaijan,country,2023,74.429001,.0040439134,.0038407461,.019148657,.0041010799
BDI,Burundi,country,2023,63.651001,.0073114312,.0059002694,.0057314141,.012229229
BEL,Belgium,country,2023,82.114998,.0020293773,.0015513042,.0054040812,.011779482
BEN,Benin,country,2023,60.773998,.0032000612,.0035387517,.0034238168,.0049441089
BFA,Burkina Faso,country,2023,61.091999,.0053755725,.0037074934,.0035054788,.0064580655
BGD,Bangladesh,country,2023,74.671997,.0072224792,.0069734356,.014948368,.0054804706
BGR,Bulgaria,country,2023,75.636002,.0010746049,.0018693255,.0091419723,.021638878
BHR,Bahrain,country,2023,81.283997,.0015960064,.0021594441,.010899707,.0036051732
BHS,Bahamas,country,2023,74.552002,.00083815394,.0013197063,.0070647029,.00081858743
BIH,Bosnia and Herzegovina,country,2023,77.849998,.00093088538,-.00023619723,.0078722527,.01397558
BLR,Belarus,country,2023,74.433998,.002386122,.00026887693,.009887781,.00098133518
BLZ,Belize,country,2023,73.566002,.0031673417,.0034167354,.009164107,.019060701
BOL,Bolivia (Plurinational State of),country,2023,68.581001,.0026692187,.0025921983,.029209744,.017009245
BRA,Brazil,country,2023,75.848,.0016484004,.00056788349,.0059683495,.013035607
BRB,Barbados,country,2023,76.178001,.0004764261,-.00052428804,-.0020438577,.0066332505
BRN,Brunei Darussalam,country,2023,75.327003,.00063014805,.00089189224,.0009444243,.033051409
BTN,Bhutan,country,2023,72.974998,.0039401706,.0035006618,.0033198346,.0030377659
BWA,Botswana,country,2023,69.163002,.012278897,.0082752286,.0074348496,.0060219159
CAF,Central African Republic,country,2023,57.408001,.014958143,.018823937,.043002702,2.0506961
CAN,Canada,country,2023,82.629997,.0010284464,.001715222,.0039686225,.016997121
CHE,Switzerland,country,2023,83.954002,.0015194026,.00093169673,.0035629014,.009062578
CHL,Chile,country,2023,81.167,.0020130365,.0015048849,.0075794552,.025146559
CHN,China,country,2023,77.953003,.0019461949,.00062723749,-.00028192994,-.0031840072
CIV,Côte d’Ivoire,country,2023,61.944,.0082518626,.0070867604,.0099004619,.0062051811
CMR,Cameroon,country,2023,63.700001,.0081564346,.0080758194,.010832225,.020130299
COD,Democratic Republic of the Congo,country,2023,61.895,.006877264,.0064867651,.008027656,.015021933
COG,Congo,country,2023,65.772003,.0043646898,.0040006344,.007098638,.011876943
COL,Colombia,country,2023,77.724998,.0024660905,.0029752082,.013062658,.015907072
COM,Comoros,country,2023,66.777,.0045095729,.0041729012,.0051492248,.004452575
CPV,Cabo Verde,country,2023,76.058998,.003454152,.0032365611,.010018611,.002002334
CRI,Costa Rica,country,2023,80.799004,.00075807679,.0017642307,.0044702967,.018697292
CUB,Cuba,country,2023,78.084999,.000073054121,.0016964981,.0029111877,.0058741765
CYP,Cyprus,country,2023,81.648003,.0004063001,.00022547402,.0017123561,.015093083
CZE,Czechia,country,2023,79.834,.0021098428,.0022014973,.0067583784,.0084507298
DEU,Germany,country,2023,81.377998,.0011425819,.0012408319,.0015367542,.009903512
DJI,Djibouti,country,2023,65.987,.0060637477,.005803864,.0091936225,.0068204678
DMA,Dominica,country,2023,71.132004,-.00013484045,-.0006902219,-.00064114039,.00071742031
DNK,Denmark,country,2023,81.932999,.0020077806,.0023154321,.0015794181,.007897404
DOM,Dominican Republic,country,2023,73.720001,.00092988304,.0004483274,.0049501788,-.0066160667
DZA,Algeria,country,2023,76.261002,.0019242179,.0018618728,.013486073,.0017338508
ECU,Ecuador,country,2023,77.391998,.0020384078,.00037257458,.024345683,.010642977
EGY,Egypt,country,2023,71.633003,.002837193,.0018502165,.0087263044,.0087734433
ERI,Eritrea,country,2023,68.624001,.0054325266,.0048644696,.0081154611,.012317562
ESP,Spain,country,2023,83.669998,.0011740418,.0013776723,.0057585905,.015831504
EST,Estonia,country,2023,79.153,.0024339687,.0020823195,.0010973271,.012613988
ETH,Ethiopia,country,2023,67.315002,.0079973266,.0062292675,.0067553376,.0062483638
FIN,Finland,country,2023,81.910004,.0012798863,.00069489772,.00035832782,.0082098441
FJI,Fiji,country,2023,67.316002,.0011526069,.0010460599,.0019486634,.0025017508
FRA,France,country,2023,83.324997,.0016298688,.001826904,.0045454977,.010306176
FSM,Micronesia (Federated States of),country,2023,67.197998,.0030552712,.0037776595,.0066348501,.003539613
GAB,Gabon,country,2023,68.336998,.0038651107,.0038307898,.006242766,.009215598
GBR,United Kingdom of Great Britain and Northern Ireland,country,2023,81.302002,.00046736191,.00044088543,.0037881578,.0028120405
GEO,Georgia,country,2023,74.496002,.0019963137,.0013774814,.0044556083,.0047879033
GHA,Ghana,country,2023,65.498001,.0048620263,.0042053661,.0061253784,.0038621908
GIN,Guinea,country,2023,60.740002,.0055685495,.0056833946,.0077466657,.0050969836
GMB,Gambia,country,2023,65.860001,.0056499708,.0056392774,.0074068275,.015433417
GNB,Guinea-Bissau,country,2023,64.084999,.0085085314,.0077709169,.01468319,.0075466246
GNQ,Equatorial Guinea,country,2023,63.707001,.0063758595,.0057227183,.0083306804,.0055562267
GRC,Greece,country,2023,81.857002,.00097026181,.0008868333,.0013105709,.023929611
