iso3,area_name,area_type,year_latest_value,mys,gr_mys_P10,gr_mys_P5,gr_mys_P3,gr_mys_P1
AFG,Afghanistan,country,2023,2.5147901,.021612262,-.0033356224,-.040371224,0
AGO,Angola,country,2023,5.9561729,.041936923,.01144264,.006340933,0
ALB,Albania,country,2023,10.175311,.0015459077,.0029839601,.0017808222,0
AND,Andorra,country,2023,11.61,.0089526149,.012515105,.010255673,0
ARE,United Arab Emirates,country,2023,12.99,.023123272,.0080427006,.0067622187,0
ARG,Argentina,country,2023,11.184582,.0026726851,.0015193549,.001332216,0
ARM,Armenia,country,2023,11.344978,-.00030815619,.0019204437,.0004405356,0
ATG,Antigua and Barbuda,country,2023,11.6475,.005805111,-.0017377995,-.00096862263,0
AUS,Australia,country,2023,12.87,.0068560913,.0064961235,.0060289516,0
AUT,Austria,country,2023,12.361465,.0047444482,.0024688153,.0013746322,0
AZE,Azerbaijan,country,2023,11.07,.0046325843,.0079551255,.0099039134,.0098062418
BDI,Burundi,country,2023,3.4739356,.051790487,.032879286,.018134864,0
BEL,Belgium,country,2023,12.689651,.0095419977,.0060934429,.0041258973,0
BEN,Benin,country,2023,3.1942,.02081478,.023648418,.0085262284,0
BFA,Burkina Faso,country,2023,2.2665501,.061682567,.033743568,.012555787,0
BGD,Bangladesh,country,2023,6.79,.029845143,.012217356,-.014771114,0
BGR,Bulgaria,country,2023,11.454531,.0039659734,.0027793816,.0012991913,0
BHR,Bahrain,country,2023,11.13,.025232963,.011721927,.0039239423,-.0017936813
BHS,Bahamas,country,2023,12.814419,.0056449356,.0042306976,.0023481555,0
BIH,Bosnia and Herzegovina,country,2023,10.97,.025356459,.022604095,.013418095,0
BLR,Belarus,country,2023,12.335373,.0064261039,.0047756382,.002664374,0
BLZ,Belize,country,2023,8.76229,-.0085720336,-.0026511748,-.0033145528,0
BOL,Bolivia (Plurinational State of),country,2023,10.021223,.017521696,.0080485167,.0064427084,0
BRA,Brazil,country,2023,8.4253721,.014579689,.010921078,.006052698,0
BRB,Barbados,country,2023,9.9283571,.0025602155,.0023532857,.0012550275,0
BRN,Brunei Darussalam,country,2023,9.2819996,.0039860327,.0030880829,.0022364792,0
BTN,Bhutan,country,2023,5.8357944,.084709816,.049626939,0,0
BWA,Botswana,country,2023,10.478,.0092111705,.0042138416,.0018519204,0
CAF,Central African Republic,country,2023,3.9894314,.010438763,.0042351033,.0030488065,0
CAN,Canada,country,2023,13.87,.001761723,.0012156717,.00067383889,0
CHE,Switzerland,country,2023,13.949121,.0030924352,.0021518939,.0010688449,0
CHL,Chile,country,2023,11.291054,.012115422,.0096614612,.0053560608,0
CHN,China,country,2023,8.0361814,.0090519199,.0055583366,.0036005471,0
CIV,Côte d’Ivoire,country,2023,4.8699999,.0072794179,.003378052,.001864779,0
CMR,Cameroon,country,2023,6.5741806,.015132061,.0047667264,.0018718255,0
COD,Democratic Republic of the Congo,country,2023,7.378561,.021580372,.0092216851,.0079117427,0
COG,Congo,country,2023,8.3226452,.0049441564,.0026517203,.0029042533,0
COL,Colombia,country,2023,9.0315819,.014378901,.012206158,.006414074,0
COM,Comoros,country,2023,6.0068402,.023923986,.019844655,.016101465,0
CPV,Cabo Verde,country,2023,6.0900393,.0051711169,.0034506351,0,0
CRI,Costa Rica,country,2023,8.8447523,.0030436728,.0028450352,.0016922948,0
CUB,Cuba,country,2023,10.631489,-.0067851334,-.002828025,.002631624,0
CYP,Cyprus,country,2023,12.557372,.0055605657,.004477194,.0031352611,0
CZE,Czechia,country,2023,12.963182,.0028456808,.0020675545,.0012031476,0
DEU,Germany,country,2023,14.296371,.0020254832,.003054745,.00084944861,0
DJI,Djibouti,country,2023,3.9504151,.028495748,.0084518837,.0046211435,0
DMA,Dominica,country,2023,10.12509,.0099015376,.0071897721,.0039404579,0
DNK,Denmark,country,2023,13.027321,.0021540681,.0025887561,.0017285169,0
DOM,Dominican Republic,country,2023,9.4445257,.023048509,.011410568,.01060081,0
DZA,Algeria,country,2023,7.4163871,.022445329,.016305441,.0091903331,0
ECU,Ecuador,country,2023,8.9700003,.0079147303,.0041386182,.0056371829,0
EGY,Egypt,country,2023,10.13612,.022757828,.017146444,.0094898567,0
ERI,Eritrea,country,2023,5.0913644,.0090814987,.012778268,0,0
ESP,Spain,country,2023,10.756124,.011278216,.011867341,.0045699272,0
EST,Estonia,country,2023,13.562166,.00016359235,-.0014365359,.00029918057,0
ETH,Ethiopia,country,2023,2.4025397,.0055705393,.00060517021,.0016051884,0
FIN,Finland,country,2023,12.979626,.0033716885,.0027127278,.0014146629,0
FJI,Fiji,country,2023,10.37097,.0029094738,-.003704963,-.0020727264,0
FRA,France,country,2023,11.765668,.0060224915,.0044036265,.0022223017,0
FSM,Micronesia (Federated States of),country,2023,7.3325238,-.001386991,.00015279029,0,0
GAB,Gabon,country,2023,9.6859999,.014153935,.0076903333,.0047245813,0
GBR,United Kingdom of Great Britain and Northern Ireland,country,2023,13.49,.0050288578,.0036977301,.0019846556,0
GEO,Georgia,country,2023,12.7,.001109094,-.0022679798,-.002090967,0
GHA,Ghana,country,2023,7.1072102,.019635215,.023825815,.019227305,0
GIN,Guinea,country,2023,2.4863391,.032973416,.031421412,.017336253,0
GMB,Gambia,country,2023,4.674727,.027294394,.026591966,.011848676,0
GNB,Guinea-Bissau,country,2023,3.6730349,.010671675,.0024407802,0,0
GNQ,Equatorial Guinea,country,2023,8.2813272,.0075680283,.0027814854,0,0
GRC,Greece,country,2023,11.553857,.0095862616,.013023917,.0041851113,0
GRD,Grenada,country,2023,9.4463997,.0033842241,.0017606481,.00097489165,0
GTM,Guatemala,country,2023,5.8473001,.017831599,.012565076,.0064401887,0
GUY,Guyana,country,2023,8.7024298,.012340442,.0067353994,.0028902255,0
HKG,"China, Hong Kong Special Administrative Region",country,2023,12.35,.0046228361,.0024470179,.0021686193,0
HND,Honduras,country,2023,7.5102291,.025297092,.03609721,.0096429419,0
HRV,Croatia,country,2023,12.095121,.0066111707,.0054817651,.0040114694,0
HTI,Haiti,country,2023,5.3822999,.0068406197,0,0,0
HUN,Hungary,country,2023,12.331622,.002646222,.0042980267,.0022161687,0
IDN,Indonesia,country,2023,8.6972237,.012209005,.012833614,.0053153136,0
IND,India,country,2023,6.8800001,.022729628,.01971961,.01964248,.047184139
IRL,Ireland,country,2023,11.724999,.0051011532,.0038295931,.0021257713,0
IRN,Iran (Islamic Republic of),country,2023,10.846712,.0077584232,.0061083152,.0033888889,0
IRQ,Iraq,country,2023,6.7800465,.0036569303,.00274144,.0015221089,0
ISL,Iceland,country,2023,13.908926,.005321282,.0039124531,.0033517298,0
ISR,Israel,country,2023,13.534595,.005595977,.0043475446,.0024129208,0
ITA,Italy,country,2023,10.828128,.0067862622,.0048751547,.0027277251,0
JAM,Jamaica,country,2023,9.9599104,.013426109,.011483636,.0094235111,0
JOR,Jordan,country,2023,10.24,.0016741924,-.0021347117,-.0067439531,-.0067894193
JPN,Japan,country,2023,12.684047,.00088769238,.00066426396,.00036937857,0
KAZ,Kazakhstan,country,2023,12.547174,.0072865505,.0054629231,.003031309,0
KEN,Kenya,country,2023,8.6247101,.027978996,.021538189,.03914129,0
KGZ,Kyrgyzstan,country,2023,12.065888,.0069503165,.0052082273,.0028901459,0
KHM,Cambodia,country,2023,5.1971002,.035459649,.028480593,.01312405,0
KIR,Kiribati,country,2023,9.128582,.0055848765,.0020097876,0,0
KNA,Saint Kitts and Nevis,country,2023,10.849401,.0046986714,0,0,0
KOR,Republic of Korea,country,2023,12.722198,.0064668003,.0048609241,.0026975232,0
KWT,Kuwait,country,2023,7.5660071,.012532632,.0094060628,.0052147307,0
LAO,Lao People's Democratic Republic,country,2023,6.060246,.013912256,.010227364,.0063093025,0
LBN,Lebanon,country,2023,10.37,.010831253,0,0,0
LBR,Liberia,country,2023,6.1698918,.033547103,.031184062,.017507369,0
LBY,Libya,country,2023,7.7786064,-.00037357979,-.0003428825,0,0
LCA,Saint Lucia,country,2023,8.6141672,.0029994799,.0022400157,.0012469908,0
LIE,Liechtenstein,country,2023,12.40996,.0047444482,.0024687673,.0013746322,0
LKA,Sri Lanka,country,2023,10.77,.0025012491,.0024317699,-.0015427279,0
LSO,Lesotho,country,2023,7.7298837,.019650992,.01470247,.0081414999,0
LTU,Lithuania,country,2023,13.610692,.0078257238,.0047297399,.0027256534,0
LUX,Luxembourg,country,2023,12.589372,-.0047252006,.0010477306,.00061841053,0
LVA,Latvia,country,2023,13.40944,.0045837467,.0034576452,.0019955654,0
MAR,Morocco,country,2023,6.198,.023277326,.013992382,.0080886614,0
MCO,Monaco,country,2023,,,,,
MDA,Republic of Moldova,country,2023,11.83,.0017065288,.00084746012,.00084674422,0
MDG,Madagascar,country,2023,4.5925202,-.0052650003,-.019587988,-.011292192,0
MDV,Maldives,country,2023,7.4103727,.026663547,.012966605,.0061921468,0
MEX,Mexico,country,2023,9.3495111,.011249379,.0092238262,.0046605454,0
MHL,Marshall Islands,country,2023,11.636664,.0055068168,.0049110446,.0027031812,0
MKD,North Macedonia,country,2023,10.23,-.00028036477,-.026252706,0,0
MLI,Mali,country,2023,1.63,-.016497007,-.027097765,0,0
MLT,Malta,country,2023,12.420702,.011945363,.0096221752,.0057194252,0
MMR,Myanmar,country,2023,6.3800001,.039383877,.016809804,0,0
MNE,Montenegro,country,2023,12.773926,.0099103991,.0074236407,.004117439,0
MNG,Mongolia,country,2023,9.4200001,-.0095050381,-.028835902,0,0
MOZ,Mozambique,country,2023,4.5904899,.046818253,.066522308,.059474669,0
MRT,Mauritania,country,2023,4.852026,.014294572,.01343041,.0068220678,0
MUS,Mauritius,country,2023,10.103328,.011883431,.0067476891,.0037012079,0
MWI,Malawi,country,2023,5.2437401,.0049825408,-.00075619225,0,0
MYS,Malaysia,country,2023,11.09,.010046618,.0099059679,.0089754919,0
NAM,Namibia,country,2023,7.2731466,.0074843741,.0037186453,.0014184432,0
NER,Niger,country,2023,1.4122894,-.010802259,.025386041,.017326277,0
NGA,Nigeria,country,2023,7.5859699,.017990088,.018575668,.0088092797,0
NIC,Nicaragua,country,2023,9.9330196,.014030266,.0094388183,.0048434027,0
NLD,Netherlands (Kingdom of the),country,2023,12.669947,.0048627686,.0056174588,.0023776302,0
NOR,Norway,country,2023,13.117962,.0034278119,.0021940426,.0015066677,0
