iso3,area_name,area_type,year_latest_value,gdppc,gr_gdppc_P10,gr_gdppc_P5,gr_gdppc_P3,gr_gdppc_P1
ABW,Aruba,country,2023,42783.24890720672,.018230397,.016725201,.12053339,.094663955
AFG,Afghanistan,country,2023,1983.812619929087,-.041992761,-.07327918,-.10527408,.0010610484
AGO,Angola,country,2023,8597.538787875537,-.029700886,-.032746695,-.011642184,-.017536035
ALB,Albania,country,2023,20501.64707267415,.047633659,.048602238,.075985618,.057396732
AND,Andorra,country,2023,64631.29639092712,.012055772,.0049708481,.052155603,.011233009
ARE,United Arab Emirates,country,2023,70239.83283372284,-.0055197403,-.0067825052,.016834518,.0023430574
ARG,Argentina,country,2023,27230.39684966819,-.0070531797,-.0010010473,.044778399,-.021370031
ARM,Armenia,country,2023,19402.75109155784,.047542449,.05230144,.088296689,.084790155
ATG,Antigua and Barbuda,country,2023,28712.39704921922,.013106521,-.0011536614,.062604181,.033357359
AUS,Australia,country,2023,60684.95962048829,.010077852,.010321496,.019550471,.010925416
AUT,Austria,country,2023,64536.2076307547,.0058773421,.0023665731,.023023337,-.017630663
AZE,Azerbaijan,country,2023,21310.73869150223,.0043838946,.015000734,.036710154,.012327216
BDI,Burundi,country,2023,1033.009373417758,.0021131877,-.0020008073,.0017421303,.0047639478
BEL,Belgium,country,2023,63042.00998763087,.011441049,.012116773,.032144278,.0070139626
BEN,Benin,country,2023,3721.212548148079,.025493441,.033533577,.038983982,.037032846
BFA,Burkina Faso,country,2023,2486.206698128709,.019128488,.014249858,.014526599,.0068876827
BGD,Bangladesh,country,2023,8242.397989772422,.055057488,.052144296,.055207722,.044907272
BGR,Bulgaria,country,2023,33073.68030934533,.037198018,.036165468,.050602127,.019732958
BHR,Bahrain,country,2023,57819.90518312423,.0043273824,.010443484,.024220485,.0042892629
BHS,Bahamas,country,2023,35221.26969323129,.008375044,.0091678612,.10013258,.025574861
BIH,Bosnia and Herzegovina,country,2023,19804.91814656348,.041914091,.03909754,.057494886,.026261693
BLR,Belarus,country,2023,27782.43801399673,.006083033,.010540239,.012936907,.04691216
BLZ,Belize,country,2023,12371.00865453477,.002509495,.0155598,.071888544,-.015467885
BMU,Bermuda,country,2023,102268.9228032722,.0057670306,.013486202,.049441863,.044167135
BOL,Bolivia (Plurinational State of),country,2023,11616.15755951592,.011204271,-.0051561482,.041381963,.011180934
BRA,Brazil,country,2023,19079.81221340277,-.00084355043,.01264721,.032632951,.028336715
BRB,Barbados,country,2023,20865.01554371472,.0056072455,.0097425878,.083580077,.018077174
BRN,Brunei Darussalam,country,2023,76616.70148849809,-.012181344,-.0038251013,-.01545161,.0033903243
BTN,Bhutan,country,2023,14610.29590978366,.026823336,.01067459,.040228575,.039041452
BWA,Botswana,country,2023,18932.48027123341,.014652708,.012128163,.051399302,.01528962
CAF,Central African Republic,country,2023,1132.676433698038,.012851049,.0012362486,-.001143437,-.0036288064
CAN,Canada,country,2023,58088.37780779945,.0060058935,.0026055845,.024038821,-.0084451633
CHE,Switzerland,country,2023,85383.35645040081,.010277078,.0096705602,.025069,-.0044190707
CHL,Chile,country,2023,29600.41886131676,.0081310039,.0076097562,.040742248,.00135227
CHN,China,country,2023,22687.25195343279,.056609455,.049634174,.056930274,.055254012
CIV,Côte d’Ivoire,country,2023,6520.898864597651,.03557412,.028350445,.040550377,.039640132
CMR,Cameroon,country,2023,4875.251207680049,.0086354949,.00097799406,.0077610817,.0065242965
COD,Democratic Republic of the Congo,country,2023,1559.338064758592,.015067188,.017222451,.046384133,.050527655
COG,Congo,country,2023,6172.287766506827,-.034830004,-.025669206,-.0094435504,-.005288396
COL,Colombia,country,2023,18406.62423384912,.014668674,.014786446,.050856315,-.0028217484
COM,Comoros,country,2023,3508.158623315454,.0029449826,-.0011816667,.0058337278,.012210405
CPV,Cabo Verde,country,2023,9228.460453311396,.021766813,.015838189,.085860744,.042752072
CRI,Costa Rica,country,2023,26378.54099419258,.026831368,.027167212,.056510035,.043042492
CUW,Curaçao,country,2023,27617.92042836385,-.013856502,-.01146333,.052767191,.03303811
CYM,Cayman Islands,country,2023,79580.88728456527,.0086844582,.0089203576,.033057157,.037082296
CYP,Cyprus,country,2023,51674.90234375,.034951329,.034994561,.059876971,.016404694
CZE,Czechia,country,2023,47558.4106763314,.019210959,.0053730793,.017699884,-.017197737
DEU,Germany,country,2023,63140.19490996694,.0082115745,.0021008595,.01546263,-.0099994894
DJI,Djibouti,country,2023,6510.67859061619,.038342997,.030943768,.039789855,.053391863
DMA,Dominica,country,2023,18278.22534019894,.005616548,.01607828,.070022888,.041447181
DNK,Denmark,country,2023,68993.90311003616,.012813427,.0093074217,.018099181,-.0013837768
DOM,Dominican Republic,country,2023,23282.48950710542,.03786898,.024160188,.060054544,.01285641
DZA,Algeria,country,2023,15159.32423734152,.0025495549,-.0024112193,.022170665,.025512267
ECU,Ecuador,country,2023,14321.16482956109,.0045237509,.0033524313,.048050638,.0094831977
EGY,Egypt,country,2023,16691.38739919619,.024852326,.028715923,.029231174,.020230995
ESP,Spain,country,2023,47322.59370045036,.015452688,.0042693419,.044288296,.012605297
EST,Estonia,country,2023,41284.77468755315,.018171649,.0021203554,.0029894602,-.042663265
ETH,Ethiopia,country,2023,2757.959236260995,.049769767,.035980005,.031005219,.038547602
FIN,Finland,country,2023,56051.77011295006,.0052666585,-.00062179303,.0037559296,-.017813332
FJI,Fiji,country,2023,13194.80475704038,.022098368,.0014416586,.068641067,.088831328
FRA,France,country,2023,54296.72308977306,.0081440788,.0065191127,.032624088,.011605331
FRO,Faroe Islands,country,2023,71828.43427818405,.01655815,.016478172,.028413212,.022200236
FSM,Micronesia (Federated States of),country,2023,3841.271165108155,.0038423736,.00013695701,-.0017316431,.0066759712
GAB,Gabon,country,2023,18701.42277663227,-.0058748564,-.0055131963,.00035578379,.0021098428
